"Key","Source - English","Target - Spanish"
"forms.acctRegistrationTitle","Create Your Profile ","Crear Tu Perfil"
"forms.button.continue","Continue","Continuar"
"forms.button.continueReg","Continue anyway?","¿Continuar de todos modos?"
"forms.button.deviceReg","Register a device.","Registre un dispositivo."
"forms.button.fidoRetry","Try device again","Intente con el dispositivo de nuevo."
"forms.button.newRegistration","No account? Register now!","¿No tiene cuenta? ¡Regístrese ahora!"
"forms.button.nextRegDeviceButton","Yes, register another device","Sí, registrar otro dispositivo."
"forms.button.register","Register","Registrarse"
"forms.button.resendVerification","Resend verification code","Reenviar código de verificación"
"forms.button.signOnReturn","Already have an account? Sign On","¿Ya tienes una cuenta? Iniciar Sesión"
"forms.button.text","Submit","Enviar"
"forms.button.text.signOn","Sign On","Iniciar Sesión"
"forms.button.text.trouble","Having trouble signing on?","¿Tiene problemas para iniciar sesión?"
"forms.field.CompletetionString","Testing String",""
"forms.field.devicePromptTitle","Please choose your authentication method","Por favor, elija su método de autenticación."
"forms.fields.backText","Cancel","Cancelar"
"forms.fields.currentPassword","Current Password","Contraseña actual"
"forms.fields.newPassword","New Password","Nueva contraseña"
"forms.fields.otpMessage","Enter the passcode you received to complete authentication.","Ingrese el código que recibió para completar la autenticación."
"forms.fields.pollingPageMessage","We are ensuring your experience is secure. We apologize for your delay.","Estamos asegurando que su experiencia sea segura. Le pedimos disculpas por la demora."
"forms.fields.pollingPageTitle","Ensuring a secure experience.","Garantizando una experiencia segura."
"forms.fields.resend","Resend","Reenviar"
"forms.fields.user.email.label","Email Address","Dirección de correo electrónico"
"forms.fields.user.password.label","Password","Contraseña"
"forms.fields.user.password.labelPasswordVerify","Verify Password","Verificar contraseña"
"forms.fields.user.username.label","Username","Nombre de usuario"
"forms.label.emailPairingMessage","Please enter the email you wish to authenticate with.","Por favor, ingrese el correo electrónico con el que desea autenticarse."
"forms.label.phone","Phone Number","Número de teléfono"
"forms.text.RegisterTitle","Register Now!","¡Regístrate Ahora!"
"forms.text.acctRecoveryText","Enter your username to receive a recovery code that will let you change your password.","Ingresa tu nombre de usuario para recibir un código de recuperación que te permitirá cambiar tu contraseña."
"forms.text.acctRecoveryTitle","Recover Your Account","Recupera Tu Cuenta"
"forms.text.acctVerificationText","Enter the code that was emailed to you to verify your email address.","Ingresa el código que te enviamos por correo electrónico para verificar tu dirección de correo electrónico."
"forms.text.acctVerificationTitle","Verification Code","Código de Verificación"
"forms.text.bypass","Bypass!","¡Saltado!"
"forms.text.completedRegistration","Your account has been successfully created.","Su cuenta ha sido creada con éxito."
"forms.text.completionScreen","Testing string","Testing String"
"forms.text.createPassword","Create and verify a new password.","Cree y verifique una nueva contraseña."
"forms.text.deviceRegMessage","No devices found for the user. You can register a new device below.","No se encontraron dispositivos para el usuario. Puede registrar un nuevo dispositivo a continuación."
"forms.text.deviceRegTitle","No Devices","No hay dispositivos"
"forms.text.differentDevice","Choose a different device","Elija un dispositivo diferente."
"forms.text.fidoPolling","Loading Devices","Cargando dispositivos"
"forms.text.forgotDevice","Forgot your device?","¿Olvidó su dispositivo?"
"forms.text.newPassword","Enter New Password","Introduzca la nueva contraseña"
"forms.text.nextDeviceType","Device Type:","Tipo de dispositivo:"
"forms.text.nextRegDevice","Device Registered","Dispositivo registrado"
"forms.text.nextRegDeviceMessage","You have successfully registered a device. Would you like to register another device?","Se ha registrado un dispositivo correctamente. ¿Desea registrar otro dispositivo?"
"forms.text.no","No","No"
"forms.text.passcode","Passcode","código de acceso"
"forms.text.phonePairingMessage","Enter the phone number that you want to use for authentication.","Por favor, ingrese el número de teléfono que desea usar para la autenticación."
"forms.text.please","Please","Por favor"
"forms.text.protectMessage","You have successfully authenticated using adaptive authentication.","Se ha autenticado correctamente utilizando autenticación adaptativa."
"forms.text.protectOnScreenMessage","Your Risk Score is","Su Puntuación de Riesgo es"
"forms.text.pwdUpdateSuccess","Your password has been successfully updated.","Su contraseña ha sido actualizada correctamente."
"forms.text.recoveryCode","Recovery Code","Código de recuperación"
"forms.text.returnToAuth","Return to Authentication","Volver a la Autenticación"
"forms.text.sorry","We apologize for your delay.","Le pedimos disculpas por su demora."
"forms.text.success","Success","Éxito"
"forms.text.updatePassword","Update Password","Actualizar Contraseña"
"forms.text.updatePasswordtext","Your password needs to be updated.","Tu contraseña necesita ser actualizada."
"forms.text.verify","Verify","Validar"
"forms.text.welcomeText","Welcome to","Bienvenido a"
